1,a,smj,10,4096,10,310.6
1,a,hj,10,4096,10,137.885
1,a,smj,10,4096,100,311.323
1,a,hj,10,4096,100,137.379
1,a,smj,10,4096,1000,313.913
1,a,hj,10,4096,1000,150.627
1,a,smj,10,4096,10000,340.381
1,a,hj,10,4096,10000,165.111
1,a,smj,10,4096,50000,461.938
1,a,hj,10,4096,50000,232.073
1,a,smj,10,4096,100000,610.985
1,a,hj,10,4096,100000,303.458
1,a,inlj-r,10,4096,10,397.124
1,a,smj-r,10,4096,10,312.554
1,a,inlj-r,10,4096,100,395.257
1,a,smj-r,10,4096,100,312.528
1,a,inlj-r,10,4096,1000,398.544
1,a,smj-r,10,4096,1000,317.17
1,a,inlj-r,10,4096,10000,413.779
1,a,smj-r,10,4096,10000,342.388
1,a,inlj-r,10,4096,50000,1533.99
1,a,smj-r,10,4096,50000,456.72
1,a,inlj-r,10,4096,100000,1675.46
1,a,smj-r,10,4096,100000,595.749
1,a,inlj-s,10,4096,10,17.5933
1,a,smj-s,10,4096,10,18.3317
1,a,inlj-s,10,4096,100,19.4833
1,a,smj-s,10,4096,100,20.4467
1,a,inlj-s,10,4096,1000,27.5753
1,a,smj-s,10,4096,1000,28.1653
1,a,inlj-s,10,4096,10000,70.892
1,a,smj-s,10,4096,10000,75.6027
1,a,inlj-s,10,4096,50000,251.29
1,a,smj-s,10,4096,50000,268.614
1,a,inlj-s,10,4096,100000,472.808
1,a,smj-s,10,4096,100000,558.249
